,Nom_com
742,Landouzy-la-Ville
743,Landricourt
744,Laniscourt
745,Laon
746,Lappion
747,Largny-sur-Automne
748,Latilly
749,Launoy
750,Laval-en-Laonnois
751,Lavaqueresse
752,Laversine
753,Lemé
754,Lempire
755,Lerzy
756,Leschelle
757,Lesdins
759,Lesquielles-Saint-Germain
760,Leuilly-sous-Coucy
761,Leury
762,Leuze
763,Levergies
764,Lhuys
766,Lierval
767,Liesse-Notre-Dame
768,Liez
769,Limé
770,Lislet
772,Longpont
773,Lor
774,Louâtre
776,Lucy-le-Bocage
777,Lugny
778,Luzoir
779,Ly-Fontaine
780,Maast-et-Violaine
781,Mâchecourt
783,Macquigny
784,Magny-la-Fosse
785,Maissemy
786,Maizy
787,La Malmaison
788,Malzy
789,Manicamp
790,Marchais
791,Marcy
792,Marcy-sous-Marle
793,Marest-Dampcourt
794,Mareuil-en-Dôle
796,Margival
797,Marigny-en-Orxois
798,Marizy-Sainte-Geneviève
800,Marle
801,Marly-Gomont
802,Martigny
803,Martigny-Courpierre
804,Mauregny-en-Haye
805,Mayot
806,Mennessis
807,Mennevret
808,Mercin-et-Vaux
809,Merlieux-et-Fouquerolles
810,Mesbrecourt-Richecourt
811,Mesnil-Saint-Laurent
813,Mézières-sur-Oise
814,Mézy-Moulins
816,Missy-lès-Pierrepont
817,Missy-sur-Aisne
818,Molain
819,Molinchart
820,Monampteuil
821,Monceau-le-Neuf-et-Faucouzy
822,Monceau-lès-Leups
823,Monceau-le-Waast
824,Monceau-sur-Oise
825,Mondrepuis
826,Monnes
827,Mons-en-Laonnois
828,Montaigu
830,Montbrehain
832,Montcornet
833,Mont-d'Origny
834,Montescourt-Lizerolles
835,Montfaucon
836,Montgobert
838,Monthenault
839,Monthiers
840,Monthurel
841,Montigny-en-Arrouaise
842,Montigny-l'Allier
843,Montigny-le-Franc
844,Montigny-Lengrain
847,Montigny-sur-Crécy
848,Montlevon
849,Montloué
850,Mont-Notre-Dame
851,Montreuil-aux-Lions
854,Mont-Saint-Père
855,Morcourt
857,Morsain
858,Mortefontaine
859,Mortiers
861,Moussy-Verneuil
862,Moÿ-de-l'Aisne
863,Muret-et-Crouttes
865,Nampcelles-la-Cour
866,Nampteuil-sous-Muret
867,Nanteuil-la-Fosse
869,Nauroy
870,Nesles-la-Montagne
871,Neufchâtel-sur-Aisne
873,Neuilly-Saint-Front
874,Neuve-Maison
875,La Neuville-Bosmont
876,La Neuville-en-Beine
878,La Neuville-lès-Dorengt
879,Neuville-Saint-Amand
880,Neuville-sur-Ailette
881,Neuville-sur-Margival
882,Neuvillette
883,Nizy-le-Comte
884,Nogentel
885,Nogent-l'Artaud
887,Noroy-sur-Ourcq
888,Le Nouvion-en-Thiérache
889,Nouvion-le-Comte
890,Nouvion-le-Vineux
891,Nouvron-Vingré
892,Noyales
893,Noyant-et-Aconin
894,Œuilly
895,Ognes
896,Ohis
897,Oigny-en-Valois
898,Oisy
899,Ollezy
900,Omissy
901,Orainville
903,Origny-en-Thiérache
904,Origny-Sainte-Benoite
905,Osly-Courtil
908,Oulchy-la-Ville
909,Paars
912,Papleux
913,Parcy-et-Tigny
914,Parfondeval
915,Parfondru
917,Pargny-Filain
918,Pargny-la-Dhuys
919,Pargny-les-Bois
920,Parpeville
921,Pasly
922,Passy-en-Valois
923,Passy-sur-Marne
924,Pavant
925,Pernant
926,Pierremande
927,Pierrepont
928,Pignicourt
929,Pinon
931,Pleine-Selve
934,Plomion
936,Pommiers
937,Pont-Arcy
938,Pontavert
939,Pontru
940,Pontruet
941,Pont-Saint-Mard
942,Pouilly-sur-Serre
943,Prémont
944,Prémontré
945,Presles-et-Boves
