SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01202;Lagnieu;1626;421;110;584;21308;1369;12.4;7090
01203;Laiz;293;43;17;53;21850;186;5.8;1213
01204;Le Poizat-Lalleyriat;189;36;3;12;22928;110;11.2;712
01206;Lantenay;64;4;0;0;23452;50;11;272
01207;Lapeyrouse;82;6;2;0;24980;36;9.3;324
01208;Lavours;23;4;1;0;20622;42;7.9;127
01209;Léaz;206;38;3;38;27754;91;27.8;719
01210;Lélex;39;5;0;5;23876;44;13.3;225
01211;Lent;337;53;8;81;22535;261;10.6;1416
01212;Lescheroux;181;38;13;7;18778;137;9.6;727
01213;Leyment;342;47;16;33;21598;135;8.6;1285
01214;Leyssard;31;7;0;1;22584;26;0;153
01215;Surjoux-Lhopital;28;5;1;0;N/A;21;7.9;126
01216;Lhuis;182;34;5;17;20708;226;7.9;890
01219;Lompnas;39;9;3;0;13460;27;11.8;169
01224;Loyettes;926;168;52;85;20600;401;13.4;3145
01225;Lurcy;82;8;2;0;25468;72;15.8;379
01227;Magnieu;167;36;5;0;N/A;111;10.9;640
01228;Maillat;131;23;8;13;23740;99;16.1;623
01229;Malafretaz;292;39;16;30;21199;222;11.8;1188
01230;Mantenay-Montlin;72;12;1;3;18352;71;3.2;310
01231;Manziat;445;57;23;6;22832;419;14.7;1977
01232;Marboz;491;70;25;68;21186;479;6.3;2226
01233;Marchamp;32;4;1;0;21331;32;0;131
01234;Marignieu;29;2;0;0;23850;42;0;173
01235;Marlieux;288;61;15;56;20334;164;12.2;1068
01236;Marsonnas;243;43;14;4;20432;178;8.2;981
01237;Martignat;435;81;18;119;20452;230;11.7;1627
